*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Solar Charge Board production1
*Date=19:02:55
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
404;;;90.5256;-98.1278;0;Bottom;Copper Fill38
405;;;61.341;-57.4116;0;Bottom;Copper Fill160
406;;;18.1248;-67.6458;0;Bottom;Via72
407;;;81.2038;-62.3646;0;Bottom;Copper Fill142
408;;;60.452;-80.3224;0;Bottom;Copper Fill78
409;;;31.4706;-97.8484;0;Bottom;Copper Fill41
410;;;38.1248;-72.8958;0;Bottom;Via77
411;;;24.3748;-83.7958;0;Bottom;Via54
412;;;63.5254;-79.0778;0;Bottom;Copper Fill84
413;;5050;85.5247;-57.1957;0;Top;RGB25
414;;;48.1584;-78.6206;0;Bottom;Copper Fill86
415;;;41.529;-78.8238;0;Bottom;Copper Fill85
416;;;59.182;-78.6206;0;Bottom;Copper Fill87
417;;5050;74.5248;-48.9456;0;Top;RGB29
418;;;75.8698;-83.5228;0;Bottom;Copper Fill69
419;;5050;74.5248;-57.1957;0;Top;RGB24
420;;;85.5218;-38.5902;0;Bottom;Copper Fill233
421;;;69.0372;-84.4626;0;Bottom;Copper Fill68
422;;5050;74.5248;-40.9457;0;Top;RGB34
423;;;71.4756;-80.3224;0;Bottom;Copper Fill79
